Z / PU Number,Slot,Subslot,Check in Time,Check in Operator,Location,State,Storage Unit,Storage Sub Unit,Zone State,Item State,Part Number,Lot No,Initial Quantity,Material Barcode,Estimated Current Quantity,Component Count Update,Reserved Quantity,Work Order Name,Cart Id,Splice Reel,Splice Lot Number,Splice Estimated Quantity,Splice Total Quantity,Feeder Birth Date,Components Fed,Total Components Fed,Feeder Count Update,Last Maintained,Feeder Barcode,MANUFACTURE DATE
 ,0,0, , ,NPM-1,Unloaded Reels, , ,Active, ,1014028,1000040846,3000,1000451307,44,03/09/2021 01:55:37 PM,0, , , , ,0,0, ,0,0, , , , 
 ,0,0, , ,NPM-1,Unloaded Reels, , ,Active, ,1014043,1000035540,15000,1000412051,498,03/17/2021 01:29:58 PM,0, , , , ,0,0, ,0,0, , , , 
 ,0,0, , ,NPM-1,Unloaded Reels, , ,Active, ,1014043,1000035540,15000,1000412089,32,03/02/2021 10:26:43 AM,0, , , , ,0,0, ,0,0, , , , 
 ,0,0, , ,NPM-1,Unloaded Reels, , ,Active, ,1014043,1000035540,15000,1000412181,167,12/20/2020 07:50:46 AM,0, , , , ,0,0, ,0,0, , , , 
 ,0,0, , ,NPM-1,Unloaded Reels, , ,Active, ,1014043,1000035540,15000,1000412194,16,12/28/2020 08:25:32 AM,0, , , , ,0,0, ,0,0, , , , 
 ,0,0, , ,NPM-1,Unloaded Reels, , ,Active, ,1014043,1000040375,15000,1000441744,16,02/03/2021 06:59:49 AM,0, , , , ,0,0, ,0,0, , , , 
 ,0,0, , ,NPM-1,Unloaded Reels, , ,Active, ,1014043,1000041606,15000,1000472820,14836,05/24/2021 03:33:39 PM,0, , , , ,0,0, ,0,0, , , , 
 ,0,0, , ,NPM-1,Unloaded Reels, , ,Active, ,1014043,1000041606,15000,1000472846,14805,05/30/2021 03:09:46 PM,0, , , , ,0,0, ,0,0, , , , 
 ,0,0, , ,NPM-1,Unloaded Reels, , ,Active, ,1014243,1000041751,10000,1000475524,1,06/01/2021 05:02:31 AM,0, , , , ,0,0, ,0,0, , , , 
 ,0,0, , ,NPM-1,Unloaded Reels, , ,Active, ,1014246,1000039022,10000,1000405687,100,04/05/2021 01:27:05 PM,0, , , , ,0,0, ,0,0, , , , 
